#NAME	CopdIAA.1	CopdIAA.2	CopdIAA.3	CopdIAA.4	CopdPBS.1	CopdPBS.2	CopdPBS.3	CopdPBS.4	CtrlIAA.1	CtrlIAA.2	CtrlIAA.3	CtrlIAA.4	CtrlPBS.1	CtrlPBS.2	CtrlPBS.3	CtrlPBS.4
#CLASS	COPDIAA	COPDIAA	COPDIAA	COPDIAA	COPDPBS	COPDPBS	COPDPBS	COPDPBS	ControlIAA	ControlIAA	ControlIAA	ControlIAA	ControlPBS	ControlPBS	ControlPBS	ControlPBS
A1bg	119	98	103	142	133	115	91	129	90	101	152	138	96	127	116	137
A1cf	11	8	5	3	11	7	5	9	4	5	7	9	7	8	7	9
A2m	5	3	7	2	2	1	3	4	3	3	4	1	1	5	3	3
A2ml1	149	89	26	468	3808	123	56	1066	217	558	142	666	585	201	410	984
A3galt2	4	4	8	3	7	3	3	4	9	11	17	9	8	17	16	22
A4galt	445	206	318	411	373	356	168	526	693	803	1172	1134	805	929	994	911
Aaas	207	175	178	270	210	211	206	220	151	149	204	300	164	237	237	265
Aacs	706	586	566	758	820	724	618	867	564	616	797	1002	601	1000	843	1244
Aadac	16	14	19	24	16	16	11	17	15	24	12	20	17	21	25	19
Aadacl2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Aadat	5	4	2	3	4	3	3	2	0	2	6	4	2	2	1	1
Aaed1	1023	1028	1289	1552	1408	871	883	1421	1270	1594	1953	2031	1494	1382	1917	1964
Aagab	607	468	495	749	746	572	471	648	479	520	708	720	582	681	636	730
Aak1	830	758	1184	1339	1235	788	648	1207	927	1082	1530	1696	1006	1159	1409	1596
Aamdc	511	481	433	471	568	488	410	515	385	530	572	551	431	465	587	566
Aamp	3991	3682	3095	4153	4112	4173	3368	3858	3011	3394	3858	4486	3352	4093	4071	4263
Aanat	0	1	2	2	0	1	1	3	1	3	0	4	0	0	0	1
Aar2	841	717	658	887	927	852	732	815	625	665	859	980	680	821	865	912
Aard	325	212	262	254	215	214	183	334	356	414	443	464	300	264	420	363
Aars	2356	1879	2037	2643	2445	2403	2350	2374	2002	1934	2889	3405	1926	3339	2619	3086
Aars2	200	157	231	216	217	240	246	239	173	222	301	318	195	281	270	296
Aarsd1	592	522	531	587	561	610	393	580	398	514	565	701	493	574	639	616
Aasdh	80	59	71	114	89	67	54	83	66	115	105	111	78	81	96	103
